platform,platform_domain,category,quality_score,action,old_profile_found,old_brand_updated,account_email_used,public_profile_url,submitted_date,status,public_website_link_visible,backlink_counted,link_target,link_type,noindex_detected,moderation_required,user_action_required,verification_method,description_language,notes
"Cybo","cybo.com","general business directory","8","create_submitted","false","false","authorized Google account; address withheld","","2026-07-28","submitted_pending","false","false","https://chisinauweb.com/","unavailable","unknown_pending","true","none","Google OAuth; platform review pending","English","Submission API returned HTTP 200 and requiresReview=true. Canonical website, public phone/email, category, description, Moldova, and Mon-Fri hours were supplied. The verified public address was preserved as street suggestion 27 plus address line 2 /2."
"Google Business Profile","google.com","local business profile","10","profile_completed_verified","false","false","authorized Google account; private address not recorded or published","https://www.google.com/maps?cid=13449954236347354846","2026-07-28","live","true","true","https://chisinauweb.com/","direct","not_detected","true","none","Google verification completed by owner; public Maps profile and website link checked","Romanian","Live verified service-area profile. Direct public website link and public phone confirmed. Solo-developer description and Monday-Friday 09:00-18:00 hours are approved. Eight factual services were submitted; the cover remains pending moderation and the logo is saved. Google has no public email field, so contact@chisinauweb.com was not exposed. Application development was removed; two inherited mobile-app/software-development labels remain because Google's service editor stalled."
"Powermedia","powermedia.md","local editorial agency roundup","8","correction_request_sent","true","false","contact@chisinauweb.com","https://powermedia.md/ro/articole/top-companii-creare-website-moldova-2026 ; https://powermedia.md/en/articole/top-10-website-development-companies-moldova-2026 ; https://powermedia.md/ru/articole/top-10-kompaniy-sozdanie-sitev-moldova-2026","2026-07-28","submitted_pending","false","false","https://chisinauweb.com/","unavailable","not_detected","true","none","Official contact form accepted the correction request","Romanian","One personalized correction request covered the Romanian, English, and Russian versions. The pages still mention the old brand and no live canonical link is verified."
"Brownbook","brownbook.net","general business directory","7","create_attempted","false","false","not submitted","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Enter the real account-holder name, create a unique password in the authorized password manager, accept the terms, and submit the prepared final step.","Account email/password registration required","English","Business details and Computer Systems Design Services category were prepared. Stopped before account creation because a truthful account-holder name and password-manager interaction are required."
"GitHub organization","github.com","developer brand profile","9","create_attempted","false","false","existing authenticated GitHub user; identity not recorded","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Complete GitHub's interactive account-verification CAPTCHA and select the truthful organization ownership classification.","Existing GitHub session; interactive CAPTCHA required","English","Free organization plan was reached. No organization was created and no repository was modified."
"Crunchbase","crunchbase.com","company database","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Complete Crunchbase's Cloudflare browser-session verification, then continue only if the free factual organization flow remains available.","Cloudflare session verification","English","Official add-new route stopped at a Cloudflare verification page. No bypass was attempted."
"Lista.md","lista.md","Moldova business directory","8","create_attempted","false","false","not submitted","","","failed_technical","false","false","https://chisinauweb.com/","unavailable","not_checked","false","Finish Google social sign-in manually, or register with the real account-holder first and last name plus a password saved in the password manager.","Google social-auth endpoint timed out twice","Romanian","Company-registration page is relevant and local, but the social-auth tab became unresponsive. Manual registration also requires truthful personal names."
"TechBehemoths","techbehemoths.com","agency directory","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Complete the visible Cloudflare security/CAPTCHA check, then resume the free company submission.","Cloudflare security verification","English","Stopped at the platform's interactive security verification. No CAPTCHA bypass was attempted."
"Vendorland","vendorland.com","B2B vendor directory","9","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Use a real authorized contact name and ask Vendorland support for onboarding access; the public flow exposes login but no self-service signup.","Support/onboarding access required","English","No duplicate listing was found. The free public profile appears useful, but no truthful self-service registration path was available."
"DesignRush","designrush.com","agency directory","8","create_attempted","false","false","none","","","requires_user_input","false","false","https://chisinauweb.com/","unavailable","not_checked","true","Provide the real authorized representative's first and last name to continue the free agency submission.","Personal contact fields required","English","Stopped before submission; no surname was inferred."
