keyword,cluster,search_volume,cpc,difficulty,country,language,intent,current_position,current_page,priority,recommended_url,page_type,notes
"pret creare website","Pret creare site",20,1.19,"Low-medium","MD","ro","Transactional price","7.61","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","GSC position 7.61 with clicks; keep title focused on pret/cost and add stronger proof above fold."
"realizare site web preturi","Pret creare site",20,1.19,"Low-medium","MD","ro","Commercial price","8.14","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","83 impressions at position 8.14 and 0 clicks; rewrite snippet to match realization/site web preturi wording."
"creare site web pret","Pret creare site",20,1.19,"Low-medium","MD","ro","Commercial price","11.76","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","139 GSC impressions, position 11.76; add exact H2 and FAQ block."
"pret creare site","Pret creare site",10,1.00,"Low-medium","MD","ro","Transactional price","14.5","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","Top GSC query by impressions; make title start with Pret creare site Moldova."
"creare site pret","Pret creare site",20,1.19,"Low-medium","MD","ro","Commercial price","13.15","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","65 impressions at position 13.15; add internal links from homepage and service hub."
"pret creare site moldova","Pret creare site",10,1.00,"Low-medium","MD","ro","Transactional local price","18.49","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","Needs stronger Moldova-local copy and comparison to competitors that start at 290/990 EUR."
"cost creare site","Pret creare site",20,1.19,"Low","MD","ro","Commercial price","4","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing landing page","Already near top; add exact phrase in intro/meta to lift CTR."
"cat costa un site web","Pret creare site",10,0.00,"Low","MD","ro","Informational-commercial","5","https://moldovawebsite.md/preturi/","P1","/preturi/","Pricing FAQ/blog support","Strong quick win; add FAQ answer and link to blog cost guide."
"pret site de prezentare","Site de prezentare",10,0.00,"Low","MD","ro","Commercial price","","https://moldovawebsite.md/site-de-prezentare/","P1","/site-de-prezentare/","Service landing page","Seobility finds volume; add price section and link to /preturi/ anchor."
"site prezentare pret","Site de prezentare",10,0.00,"Low","MD","ro","Commercial price","","https://moldovawebsite.md/site-de-prezentare/","P2","/site-de-prezentare/","Service landing page","Long-tail with buying intent; support with exact H2 and FAQ."
